"","clseusa_f","clsetown_f","clsestat_f","clsenoam_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amancstr_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","amsports_f","lessprd_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","clsetown_n","clsestat_n","clsenoam_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amancstr_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","amsports_n","lessprd_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"1","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Not very much","Very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Very much","Very much","Can't choose","Somewhat / fairly","Can't choose","Can't choose","Can't choose","Somewhat / fairly","Not very much","Can't choose","Somewhat / fairly","Can't choose","Can't choose","Can't choose","Not at all","Not very much","Can't choose",1,-1,1,-1,1,2,-1,2,-1,1,-1,1,2,2,0,1,0,0,0,1,-1,0,1,0,0,0,-2,-1,0,"F","40-55 yo","Other race","< High school","Not born in this country","> 30k","Independent","Strong","Catholic","Northeast",52,9,57119.48,10.9529004933306,0.99,1
"2","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Not at all","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Very much","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much",2,1,1,1,1,2,-2,2,1,2,1,-1,2,-1,-1,-1,-1,1,-1,-1,1,2,1,1,1,1,1,2,2,"F","40-55 yo","Other race","High school or some college","Not born in this country","< 10k","Republican","Strong","Catholic","Northeast",43,14,5711.948,8.65031540033653,0.99,2
"3","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Not very much","Very much","Not very much","Very much","Very much","Very much","Can't choose","Not very much","Very much","Very much","Somewhat / fairly","Very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",1,-1,-1,1,-1,2,-1,2,2,2,0,-1,2,2,1,2,-1,1,1,2,1,1,1,2,2,1,1,2,2,"M","40-55 yo","Black","High school or some college","Not born in this country","> 30k","Democrat","Not strong","Mainline Protestant","Northeast",52,14,57119.48,10.9529004933306,0.5,3
"4","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not very much","Can't choose","Somewhat / fairly","Not very much","Can't choose","Not very much","Can't choose","Can't choose","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Can't choose","Can't choose","Somewhat / fairly",1,1,1,1,2,2,1,2,1,2,1,-1,0,1,-1,0,-1,0,0,-1,-1,1,1,1,1,2,0,0,1,"F","25-40 yo","Hispanic","Advanced degree","Born in this country","20-30k","Democrat","Strong","Catholic","Northeast",34,17,38945.1,10.5699082410745,0.99,5
"5","Very much","Not at all","Not at all","Not at all","Very much","Very much","Can't choose","Very much","Can't choose","Very much","Very much","Can't choose","Very much","Not very much","Can't choose","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Very much","Very much","Can't choose","Very much","Very much","Very much",2,-2,-2,-2,2,2,0,2,0,2,2,0,2,-1,0,2,1,1,1,2,2,1,2,2,2,0,2,2,2,"M","< 25 yo","Other race","High school or some college","Not born in this country","< 10k","Democrat","Not strong","Other religion","Northeast",22,14,2077.072,7.63871448865804,0.5,8
"6","Somewhat / fairly","Very much","Very much","Not very much","Not at all","Very much","Very much","Very much","Not at all","Somewhat / fairly","Not at all","Not at all","Very much","Very much","Somewhat / fairly","Very much","Not very much","Not very much","Very much","Not very much","Not at all","Not very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not at all","Not at all","Somewhat / fairly","Somewhat / fairly",1,2,2,-1,-2,2,2,2,-2,1,-2,-2,2,2,1,2,-1,-1,2,-1,-2,-1,1,-2,1,-2,-2,1,1,"M","25-40 yo","Hispanic","High school or some college","Born in this country","> 30k","Democrat","Strong","Mainline Protestant","Northeast",26,14,70101.18,11.1576949059766,3.96,10
"7","Somewhat / fairly","Not very much","Not very much","Not at all","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not at all","Not very much","Not very much","Somewhat / fairly","Very much","Can't choose","Can't choose","Not at all","Not at all","Can't choose","Can't choose","Somewhat / fairly","Can't choose","Can't choose","Can't choose","Somewhat / fairly","Can't choose","Somewhat / fairly","Can't choose","Somewhat / fairly",1,-1,-1,-2,2,2,1,2,1,-2,-1,-1,1,2,0,0,-2,-2,0,0,1,0,0,0,1,0,1,0,1,"M","25-40 yo","Black","< High school","Not born in this country","10-20k","Democrat","Not strong","Catholic","Northeast",32,10,22068.89,10.0019242034685,0.99,13
"8","Not at all","Not at all","Not at all","Not at all","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Not very much","Not at all","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Can't choose","Somewhat / fairly","Can't choose","Can't choose","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not at all","Not at all","Not at all",-2,-2,-2,-2,1,-1,-1,-1,-1,-1,-2,-1,-1,1,1,2,-1,0,1,0,0,1,1,1,2,1,-2,-2,-2,"M","40-55 yo","Black","< High school","Born in this country","< 10k","Republican","Strong","Mainline Protestant","Northeast",48,11,3634.876,8.19833027659347,0.5,16
"9","Can't choose","Can't choose","Can't choose","Can't choose","Can't choose","Very much","Very much","Very much","Very much","Very much","Can't choose","Can't choose","Can't choose","Can't choose","Can't choose","Can't choose","Can't choose","Can't choose","Can't choose","Very much","Can't choose","Not very much","Very much","Somewhat / fairly","Can't choose","Not very much","Very much","Somewhat / fairly","Somewhat / fairly",0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,-1,2,1,0,-1,2,1,1,"F","25-40 yo","Black","< High school","Not born in this country","< 10k","Democrat","Strong","No religion","Northeast",39,9,7789.02,8.96047032864037,1.98,17
"10","Not very much","Not very much","Not very much","Not at all","Not very much","Very much","Not very much","Very much","Very much","Very much","Somewhat / fairly","Not very much","Can't choose","Very much","Not very much","Somewhat / fairly","Not very much","Can't choose","Can't choose","Somewhat / fairly","Not very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Can't choose","Not very much","Somewhat / fairly",-1,-1,-1,-2,-1,2,-1,2,2,2,1,-1,0,2,-1,1,-1,0,0,1,-1,-1,2,1,1,1,0,-1,1,"F","25-40 yo","Black","Bachelor","Not born in this country","> 30k","Democrat","Strong","Evangelical Protestant","Northeast",38,16,57119.48,10.9529004933306,0.99,19
