"","clseusa_f","ambornin_f","amcit_f","amlived_f","amenglsh_f","amchrstn_f","amgovt_f","amfeel_f","amcitizn_f","amshamed_f","belikeus_f","ambetter_f","ifwrong_f","proudsss_f","proudgrp_f","proudpol_f","prouddem_f","proudeco_f","proudspt_f","proudart_f","proudhis_f","proudmil_f","proudsci_f","clseusa_n","ambornin_n","amcit_n","amlived_n","amenglsh_n","amchrstn_n","amgovt_n","amfeel_n","amcitizn_n","amshamed_n","belikeus_n","ambetter_n","ifwrong_n","proudsss_n","proudgrp_n","proudpol_n","prouddem_n","proudeco_n","proudspt_n","proudart_n","proudhis_n","proudmil_n","proudsci_n","sex_f","age_f","race_f","educ_f","born_usa_f","realinc2004_f","party_f","religstr_f","reltrad_f","region_f","age_n","educ_n","realinc2004_n","lnrealinc2004_n","wgt","id"
"1","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Very much","Not very much","Somewhat / fairly","Not very much","Very much","Very much","Very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not at all","Not very much","Somewhat / fairly",3,3,4,2,4,2,3,2,4,4,3,3,2,3,2,3,3,3,3,3,1,2,3,"F","40-55 yo","Other race","< High school","Not born in this country","> 30k","Independent","Strong","Catholic","Northeast",52,9,57119.48,10.9529004933306,0.99,1
"2","Very much","Somewhat / fairly","Very much","Not at all","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Not very much","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much",4,3,4,1,4,3,4,3,4,2,2,2,2,2,3,4,3,3,3,3,3,4,4,"F","40-55 yo","Other race","High school or some college","Not born in this country","< 10k","Republican","Strong","Catholic","Northeast",43,14,5711.948,8.65031540033653,0.99,2
"3","Somewhat / fairly","Not very much","Very much","Not very much","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Very much","Not very much","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Very much",3,2,4,2,4,4,4,4,4,4,3,4,2,4,3,3,3,4,4,3,3,4,4,"M","40-55 yo","Black","High school or some college","Not born in this country","> 30k","Strong Democrat","Not strong","Mainline Protestant","Northeast",52,14,57119.48,10.9529004933306,0.5,3
"4","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Not very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly",3,4,4,3,4,3,4,3,3,3,2,3,2,2,2,3,3,3,3,4,4,4,3,"F","25-40 yo","Hispanic","Advanced degree","Born in this country","20-30k","Democrat","Strong","Catholic","Northeast",34,17,38945.1,10.5699082410745,0.99,5
"5","Somewhat / fairly","Not at all","Very much","Very much","Very much","Not at all","Somewhat / fairly","Not at all","Very much","Very much","Somewhat / fairly","Very much","Not very much","Not very much","Not at all","Not very much","Somewhat / fairly","Not at all","Somewhat / fairly","Not at all","Not at all","Somewhat / fairly","Somewhat / fairly",3,1,4,4,4,1,3,1,4,4,3,4,2,2,1,2,3,1,3,1,1,3,3,"M","25-40 yo","Hispanic","High school or some college","Born in this country","> 30k","Democrat","Strong","Mainline Protestant","Northeast",26,14,70101.18,11.1576949059766,3.96,10
"6","Somewhat / fairly","Very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Not at all","Not very much","Somewhat / fairly","Very much","Somewhat / fairly","Somewhat / fairly","Not at all","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",3,4,4,3,4,3,1,2,3,4,3,3,1,2,3,3,3,3,3,3,3,3,3,"M","25-40 yo","Black","< High school","Not born in this country","10-20k","Strong Democrat","Not strong","Catholic","Northeast",32,10,22068.89,10.0019242034685,0.99,13
"7","Not at all","Somewhat / fairly","Not very much","Not very much","Not very much","Not very much","Not very much","Not at all","Not very much","Somewhat / fairly","Somewhat / fairly","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Not at all","Not at all","Not at all",1,3,2,2,2,2,2,1,2,3,3,4,2,3,3,3,3,3,4,3,1,1,1,"M","40-55 yo","Black","< High school","Born in this country","< 10k","Strong Republican","Strong","Mainline Protestant","Northeast",48,11,3634.876,8.19833027659347,0.5,16
"8","Not very much","Not very much","Very much","Somewhat / fairly","Very much","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly",2,2,4,3,4,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,"M","25-40 yo","Other race","< High school","Not born in this country","20-30k","Strong Democrat","Strong","No religion","Northeast",29,11,46734.12,10.7522297978684,1.98,20
"9","Very much","Very much","Very much","Very much","Very much","Very much","Somewhat / fairly","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Very much","Very much","Somewhat / fairly","Not very much","Very much","Somewhat / fairly","Very much","Somewhat / fairly","Very much","Not very much","Very much","Somewhat / fairly",4,4,4,4,4,4,3,3,4,3,4,4,4,3,2,4,3,4,3,4,2,4,3,"F","55-70 yo","White","High school or some college","Born in this country","> 30k","Independent","Strong","Catholic","Northeast",67,14,70101.18,11.1576949059766,1.49,22
"10","Not very much","Not very much","Not very much","Not very much","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Somewhat / fairly","Not very much","Not very much","Somewhat / fairly",2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,"F","55-70 yo","Other race","Bachelor","Not born in this country","> 30k","Democrat","Strong","Mainline Protestant","Northeast",55,16,103853.6,11.5507374940862,1.98,26
